Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
14068,"14067",,,,,
13952,"565","6841","13951",,,
4169,"566",,,,,
14231,"14230","2287",,,,
9359,"568","568",,,,
15189,"569","101",,,,
14431,"569","298",,,,
15127,"569","7167",,,,
15382,"570","1184",,,,
14255,"570",,,,,
8179,"571",,,,,
7105,"574",,,,,
7756,"7755","1194",,,,
6929,"6928",,"6907",,,
8233,"8232",,,,,
9259,"9258",,,,,
10308,"10307",,,,,
10328,"8222","5078",,,,
8988,"8222|3235",,,,,
7732,"7731","2238",,,,
7912,"7744","274",,,,
7804,"7744","532",,,,
7745,"7744","1194",,,,
7852,"7744|7851","598",,,,
9142,"584",,,,,
8438,"9332","274",,,,
9333,"9332","5078",,,,
9566,"9332","1194",,,,
8519,"585","1195",,,,
8081,"586","2466",,,,
9278,"586","9277",,"246",,
9159,"586","1661",,,,
7727,"7188","247",,,,
7850,"7188","7849",,,,
7843,"7188","497",,,,
7742,"7188","1194",,,,
7189,"7188","4852",,,,
16322,"16321","9528",,,,
11568,"11567",,,,,
9053,"591","591",,,,
5888,"5887",,,,,
4646,"4645",,,,,
10363,"596","1258",,,,
4006,"597","76",,,,
4604,"600",,,,,
4477,"607","1150",,,,
16623,"16622",,,,,
4246,"608","1655",,,,
15892,"4128","689",,"968",,
4130,"4128","4129",,,,
14165,"12187","1241","14164",,,
15392,"15391",,,,,
13968,"13967",,,,,
4766,"4765",,,,,
5470,"613","2237","2617","924",,
5709,"616","1761",,,,
16486,"15060",,,,,
14508,"14507","5364",,,,
4574,"620",,,,,
14434,"14216","14433",,,,
14049,"14048",,,"1456",,
14410,"624","12166",,,,
4732,"625","1355",,,,
4652,"625",,,,,
15153,"626","1119",,,,
14378,"14377","462",,,,
3945,"3944",,,,,
14401,"14400","1587",,,,
15488,"15487","459",,,,
16262,"16261","26",,,,
3922,"646",,,"1015",,
15373,"647","15372",,,,
15645,"15644",,,,,
14405,"14403","196","14404",,,
5746,"657","137","5725",,,
6900,"658",,,,,
15829,"663","16664",,,,
4260,"665","1050",,,,
4308,"667","4112",,,,
4557,"667","561",,,,
16604,"16160","2176",,,,
9271,"673",,,,,
14408,"674","14407",,,,
15972,"674",,,"4112",,
4313,"677","2287",,,,
12674,"2920","6550",,,,"son of Kalpournios Loupos"
15183,"14957","14008",,"15184",,
15300,"14957","2257",,,,
15099,"682","1150",,,,
7900,"683","683",,,,
9269,"683","683",,,"683",
8245,"683","2173",,,,
15518,"683","1762","15519",,,
4345,"683","4324",,,,
6831,"683",,,,,
4190,"683|1548",,,,,
5482,"685","842",,,,
14245,"685","6841",,,,
5423,"685","1739",,,,
14299,"14298",,,,,
15214,"688","3913",,,,
14517,"688","12111",,,,
14278,"689","141",,,,
15266,"689","449",,,,
4018,"689","1133",,,,
3880,"689","1417","2319",,,
15477,"14038","166",,,,
5792,"5791",,,,,
15078,"15076","15077",,,,
4259,"696","1066",,,,
4268,"696","1471",,,,
6927,"696",,,,,
8332,"2272","7197",,,,
8935,"2210|45",,,,,
4535,"2210|139",,,,,
8430,"2210|279",,,,,
4800,"2210","1377",,,,"sister of Klaudios Potamon and Kleopatra"
4598,"2210",,,,,
13923,"2210|3592",,,"2196",,
4536,"2210|2848",,,,,
7311,"2210|1678",,,,,
4584,"2211|72",,,,,
13085,"2211|76",,,,,
9955,"2211|9954",,,,,
5708,"2211|5707",,,"1718",,
9282,"2211|5115",,,,,
6914,"2211|399",,,,,
16525,"2211|451",,,,,
13973,"2211|13972",,,,,
16175,"2211|643",,,,,
14071,"2211|13031",,,,,
