personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
141,9647,,,,,
14109,449,,,,,
14109,,,,,,
14109,2177,,,,,
14109|15095|15022,15123,,,,,
1411,1105,,,,,
1411,788,,,,,
1411,,,,,,
1411,12236,,,,,
1411,1364,,,,,
14112,14113,,,,,
14113,12111,,,,,
14117,,,14118,,,
14118,1491,,,,,
14128|14129,,,,,,
1413,1646,,,,,
1413,,,,,,
1413,298,,,,,
14134,140,,,,,
141|578,,,,,,
14170,176,,,,,
14174,14176,14175,,,,
14198,,,,,,
142,,,386,,,
142,1136,,,,,
142,15738,,,,,
142,483,,,,,
142,247,,,,,
142,15743,,,,,
142,196,,,,,
142,141,,,,,
142,140,,,,,
142,15510,,,,,
142,3891,,,,,
14202,,,,,,
14204,14205,,,,,
1421,,,,,,
14216,14433,,,,,
14216,,,,,,
14218|2179,,,,,,
14221,,,,,,
14230,2287,,,,,
14234,647,,,,,
14234,141,,,,,
1424,1424,,,,,
14251,1645,,,,,
14253|1638,,,,,,
1426,792,,2211,,,
14261|14262,,,,,,
14267,1128,,,,,
14267,14268,,,,,
1427,,,,,,
14276,14276,,,,,
1428,,,,,,
14283,,,,,,
14285,,,,,,
1429,,,56,,,
1429,1151,,,,,
1429,,,,,,
14296,1645,,,,,
14298,,,,,,
1430,,7297,,,,
1431,391,,,,,
1432,272,,,,,
14324|3592,,,,,,
1433,421,,3081,,,
1433,998,,,,,
1433,,,,,,
14331,14331,,,,,
1433|666,5078,,,,,
14338|14339,,,,,,
1435,2873,,1715,,,
1436,5605,,,,,
14363,1136,,,,,
14369,14370,,,,,
1437,274,,,,,
14377,462,,,,,
14383,684,,,,,
1439,1170,,,,,
1439,280,,,,,
1439,,,,,,
1439,1616,,,,,
14390,797,,,,,
143|967|9355,,,,,,
14400,1587,,,,,
14403,196,14404,,,,
1441,1777,,,,,
14414,14415,,,,,
14415,14972,,,,,
14415|1120,14972,,,,,
14418,12166,,,,,
1442,1085,,,,,
1442,274,,,,,
1442,497,,,,,
1442,1194,,1721,,,
1442,2233,,,,,
1442,1194,,,,,
1442,1087,,,,,
1442,,,,,,
1442,7805,,,,,
14421,14422,,,,,
14421,141,,,1134,,
14428,909,,,,,
14439,,,,,,
14442|15761,15762,,,,,
14445,572,,,,,
14448,797,,,,,
14454,14455,,,,,
14462,2287,,,,,
14465,6688,,,,,
14470,141,,,,,
14474,14475,,,,,
14474,15267,,,,,
1448,10906,,,,,
14485,1128,,,,,
1449,784,,176,,,
14507,5364,,,,,
14510,1124,,,,,
14519,,,,,,
14522,14523,,,,,
14526,,,,,,
1453,,,,,,
1453,280,,,,,
14531|14532|14533,14531,,,,,
14531|2626|14986,,,14987,,,
14536,141,,,,,
14539,141,,,,,
1454|2688,,,,,,
14549,,,,,,
1455,1413,,360,,,
1457,11839,,,,,
1457,,,12747,,,
1457,774,,,,,
1459,523,,,,,
1462,,,,,,
1466,,,,,,
1469,2481,,,,,
1469,,,,,,
1471,755,,,,,
1471,390,,,,,
1471,1471,,,,,
1471,,,,,,
1472,246,,,,,
1474,307,,,,,
1476,998,,,,,
1476,8167,,,,,
1476,1195,,,,,
1476,6930,,,,,
1476,274,,912,,,
1476,274,,,,,
1476,10332,,,,,
1476,7881,,,,,
1476,,,,,,
1476,,,280,,,
1480,317,,,,,
1482,1106,,,,,
1484,,,,,,
1485,,,,,,
1487,1150,,,,,
1489,1739,,,,,
1489,1251,,,,,
149,2212,,,,,
1491,2287,,,,,
1491,1652,,,,,
14917,,,,,,
14920,,,,,,
14925,14415,,,,,
14927|392|14928,,,,,,
1493,1545,,,,,
1493,12243,,,,,
14930|14931,,,,,,
14933,1740,,,,,
14936,14936,,,,,
14938,14939,,,,,
14944,141,,,,,
14946,1414,,,,,
14948,998,,,,,
1495,973,,,,,
14951,14952,,,,,
14957,14008,,15184,,,
14957,1128,,,,,
14957,2257,,,,,
14957,1248,,,14958,,
14960,,,,,,
14963,15060,,,,,
14963,,,,,,
14963,1119,,,,,
14965,14966,,,,,
14968,1132,,,,,
1497,,,,,,
14970,14415,,,,,
14976,,,,,,
14980,,,,,,
14982,,,,,,
14987|14989,,,14531,,,
14992,1232,,,,,
14994,1232,,,,,
1500,,,,,,
15005,23,,,,,
15009,10872,,,,,
15011,7586,,,,,
15013,,,14020,,,
15013,56,,,,,
15013,1150,,,,,
15015,624,,,,,
15017,196,,,,,
15019|3592,,,,,,
1502,1406,,,,,
15022,1092,,,,,
15022,1124,,,,,
15022,797,,,,,
15027,5415,,,,,
15029,15030,,,,,
1503,485,,,,,
15032,607,,,,,
15034,15035,,,,,
15037,1757,,,,,
15037,141,,,,,
1504,1078,,,,,
15042,15042,,,,,
15046,15129,,,,,
15046,696,,,,,
15051,630,,,,,
15051,141,,,,,
15060,,,,,,
15062|15063,,,,,,
15063,15449,,,,,
15066,141,,,,,
15068,15069,,,,,
1507,,,,,,
15073,15074,,,,,
15074,,,213,,,
15076,15077,,,,,
1508,2233,,,,,
1508,,,,,,
1508,1508,,,,,
1508,1476,,,,,
1508,497,,,,,
1508,7879,,,,,
15080,1549,,,,,
15080,15081,,,,,
15084,11563,,,,,
15087,,,,,,
15093|14109,,,,,,
15095,14109,,,,,
15097,810,,,,,
151,944,,,,,
151,,,820,,,
15102,124,,,,,
15114,1119,,,,,
1512,,,,,,
15121,800,,,,,
15125,,,,,,
15132,,,,,,
15140,808,,,,,
15146,,,15147,,,
15147,,,15146,,,
15147,10872,,5415,,,
1515,,,,,,
15151,1768,,,,,
15154,14331,,,,,
15156,1064,,,,,
15159,175,,,,,
1516,,,,,,
15165,2287,,,,,
1517,,,,,,
15171,15172,,,,,
15174,141,,,,,
15177,15178,,,,,
15178,15180,,,,,
15186,,,,,,
15190,135,,,,,
15194,449,,,,,
15198,2287,,,,,
152,1528,,,,,
1520,,,,,,
15201,12166,,,,,
15204,15205,,,,,
1521,196,,,,,
15212,297,,,,,
15218,6688,,,,,
1522,15810,,,,,
1522,1646,,,,,
15220,2175,,,,,
15220,15484,,,,,
15225,,5756,,,,
1523,1540,,,,,
1523,985,,,,,
15236,,,,,,
15239,6688,,,,,
1524,,,,,,
15241,2287,,,,,
15243,435,,,,,
15243,1222,,15328,,,
1525,,,,,,
15255,2779,,,,,
15259,1540,,,,,
15262,1693,,,,,
